codigo_comunidad_autonoma,comunidad_autonoma,codigo_provincia,provincia
10,Comunidad Valenciana,12,CASTELLÓN / CASTELLÓ
10,Comunidad Valenciana,46,VALENCIA / VALÈNCIA
11,Extremadura,06,BADAJOZ
11,Extremadura,10,CÁCERES
12,Galicia,15,CORUÑA (A)
12,Galicia,27,LUGO
12,Galicia,32,OURENSE
12,Galicia,36,PONTEVEDRA
13,Madrid,28,MADRID
14,Murcia,30,MURCIA
15,Navarra,31,NAVARRA
16,País Vasco,01,ARABA/ÁLAVA
16,País Vasco,20,GIPUZKOA
16,País Vasco,48,BIZKAIA
17,Rioja (La),26,RIOJA (LA)
18,Ceuta,51,CEUTA
19,Melilla,52,MELILLA
